Alpha,BSG,URS
0,-3.25,-5
0.1,-3.45,-5.425
0.2,-3.65,-5.85
0.3,-3.85,-6.275
0.4,-4.05,-6.7
0.5,-4.25,-7.125
0.6,-4.45,-7.55
0.7,-4.65,-7.975
0.8,-4.85,-8.4
0.9,-5.05,-8.825
1.0,-5.25,-9.25
