Alpha ->,MTDeep,URS,CNN,MLP,HRNN
0,98.97,98.06,97.99,98.97,97.22
0.25,79.1196,78.3708,73.4925,74.2275,72.915
0.5,60.6389,58.6817,48.995,49.485,48.61
0.75,42.1582,38.9925,24.4975,24.7425,24.305
1,23.6774,19.3033,0,0,0
