Alpha ->,MTDeep,URS,CNN,MLP,HRNN
0,92.95,90.2633,88.68,92.95,89.16
0.25,74.4918,73.1342,66.76,70.4625,66.87
0.5,57.929,56.005,44.84,47.975,44.58
0.75,41.3661,38.8758,22.92,25.4875,22.29
1,24.8033,21.7467,1,3,0
